twitterID,userID,username,content,retweet,favorite,date
1102597339745845248,40918816,Boston Red Sox,"(Updated) 3/4 at NYM: Hernández, G. CF, Devers 3B, Martinez DH, Vázquez C, Travis 1B, Matheny LF, Renda 2B, Sturgeo… https://t.co/Cul6Q5WSeD",4,27,2019-03-04 15:51:05
1102563037104521218,40918816,Boston Red Sox,"📍Port St. Lucie 
⏰ 1:10 pm 
📺 @MLBNetwork 
📻 @WEEI 850 AM https://t.co/B176kE9Tnt",42,394,2019-03-04 13:34:47
1102560597026189313,40918816,Boston Red Sox,@brianhavrilla Got you. ❤️,0,1,2019-03-04 13:25:05
1102555452330655745,40918816,Boston Red Sox,Monday. You got this. https://t.co/JM1fvMFWzy,61,837,2019-03-04 13:04:38
1102441966212657153,40918816,Boston Red Sox,@NickMur31272333 Well during the day we’re focused on 2019 and trying to do it again.,1,34,2019-03-04 05:33:41
1102430452596555778,40918816,Boston Red Sox,"Sometimes, late at night, we watch this GIF to remind ourselves that it's real. https://t.co/ONVsdWLPUl",547,4047,2019-03-04 04:47:56
1102366240050417664,40918816,Boston Red Sox,Let’s reflect on another Tony Renda moment... https://t.co/jxCB3jw9yK,66,1007,2019-03-04 00:32:47
1102357990064181249,40918816,Boston Red Sox,Tony Renda making it count! https://t.co/G0GUPhom3T,103,1523,2019-03-04 00:00:00
1102339359490166785,40918816,Boston Red Sox,A pair of homers &amp; a 7-run inning earn #RedSox W: https://t.co/HLKGyqKNJf https://t.co/yMPQ4svZjw,49,540,2019-03-03 22:45:58
1102313814064799744,40918816,Boston Red Sox,"Dub. 👍

FINAL: #RedSox 9, Twins 7 https://t.co/RJpdFssZeI",107,717,2019-03-03 21:04:27
1102311433918967810,40918816,Boston Red Sox,Your daily @MichaelChavis11 HR: https://t.co/TVYn9e9BJG,115,802,2019-03-03 20:55:00
1102305897173434368,40918816,Boston Red Sox,"Welcome to #SoxSpring, Mitch! https://t.co/7VeUZKg2VM",59,744,2019-03-03 20:33:00
1102300221910986752,40918816,Boston Red Sox,Make that ✌️ doubles for @mookiebetts today! https://t.co/9gysVEQRdV,210,1726,2019-03-03 20:10:27
1102296403471159297,40918816,Boston Red Sox,"Our guy, @TRenda28 , with the 3-run blast! 

#SoxSpring https://t.co/qFyafCmGah",33,419,2019-03-03 19:55:16
1102290684508336129,40918816,Boston Red Sox,That’s 4️⃣ #SoxSpring homers for @MichaelChavis11! 💪 https://t.co/liy7An5zUJ,45,330,2019-03-03 19:32:33
1102287066279432194,40918816,Boston Red Sox,"RT @guerinaustin: Brock just made this little kid’s day. 😀

#RedSox 
#SoxSpring https://t.co/1409kCXjtl",136,0,2019-03-03 19:18:10
1102282415324741633,40918816,Boston Red Sox,That’s an RBI-single in Mitch’s first #SoxSpring game! https://t.co/4dsOAuzlf6,23,276,2019-03-03 18:59:41
1102268810994860032,40918816,Boston Red Sox,PLAY BALL ⚾️ https://t.co/7N1oASxmL5,75,680,2019-03-03 18:05:38
1102267464417792001,40918816,Boston Red Sox,"Fun Fact: @JackieBradleyJr is 6-for-10 with 3 XBH in Grapefruit League games. 

#SoxSpring https://t.co/jt1U2134lW",27,379,2019-03-03 18:00:17
1102262553948971008,40918816,Boston Red Sox,Making his #SoxSpring debut this afternoon! https://t.co/8yOhZMb3ay,74,892,2019-03-03 17:40:46
1102259480597839874,40918816,Boston Red Sox,#SundayMorning from the Fort https://t.co/xDiMlAEQ1Q,40,385,2019-03-03 17:28:33
1102255338575810561,40918816,Boston Red Sox,Our weekend plans! #SoxSpring ☀️ https://t.co/6tJY3rPZRc,47,355,2019-03-03 17:12:06
1102247068314361857,40918816,Boston Red Sox,Up to somethin’ 🤫 https://t.co/FIsFyFSUYD,69,900,2019-03-03 16:39:14
1102243691551428608,40918816,Boston Red Sox,"Young Fan: Good morning, Jackie!
JBJ: Good morning!
Young Fan: Have a good game!
JBJ: Have a great day!!! https://t.co/5wJWupSOiE",176,2716,2019-03-03 16:25:49
1102241943797620736,40918816,Boston Red Sox,Souvenirs from the 🐐! https://t.co/PbcnMPH7Rc,48,613,2019-03-03 16:18:52
