twitterID,userID,username,content,retweet,favorite,date
1100950882835787776,404381330,Christian Yelich,Uncle Rico would be proud https://t.co/21GpTmQo7N,77,2463,2019-02-28 02:48:39
1100949043264380928,404381330,Christian Yelich,That mustache is world class https://t.co/bb1bI0jb9h,1168,16112,2019-02-28 02:41:21
1100856654885572608,404381330,Christian Yelich,Had a great time filming a cameo on an episode of @MagnumPICBS check it out March 4th at 9/8c https://t.co/61WWz4ubX0,153,2117,2019-02-27 20:34:14
1100537848103489536,404381330,Christian Yelich,"Thank you @sluggernation for the custom bat case. Best bats in the business, always appreciate the love. Looking fo… https://t.co/NzAbXd7gPY",142,3263,2019-02-26 23:27:24
1099108351848247296,404381330,Christian Yelich,"RT @WISN_Watson: “You get to play this game one time. Your career goes by so quickly, you want to know you gave it everything you had.”

@C…",72,0,2019-02-23 00:47:06
1099018495461711872,404381330,Christian Yelich,I am @Eastbay’s  latest cover athlete! Stay tuned to Eastbay for more from the shoot! @UnderArmour @UABaseball https://t.co/N57ZEEpxkM,77,1494,2019-02-22 18:50:02
1098677132346019845,404381330,Christian Yelich,@Brewers https://t.co/UU4EAGaROY,91,1466,2019-02-21 20:13:35
1098312202929397761,404381330,Christian Yelich,"RT @PlayersTribune: MVPs are made during the offseason, just ask @ChristianYelich. @proactivesp https://t.co/sKf2uAMojh",118,0,2019-02-20 20:03:29
1097261513289519104,404381330,Christian Yelich,. @Mooose_8 https://t.co/Wmc9YwP7HW,1089,8328,2019-02-17 22:28:25
1097254164936019968,404381330,Christian Yelich,@FanBrewer @Todd_Rosiak @AdamMcCalvy @Haudricourt @1057FMTheFan Too bad I was in Hawaii in mid January and never went to a bar.....,1,61,2019-02-17 21:59:13
1096831011235622913,404381330,Christian Yelich,Kicking it with Bishop on the latest cover of @sikids! Thanks for the feature and highlighting @CAStrongfund! https://t.co/C3eGvtn3p0,297,3412,2019-02-16 17:57:45
1096110994781130752,404381330,Christian Yelich,"RT @Brewers: Nothing compares to you. 

Happy #ValentinesDay. https://t.co/R3e5sxavdG",270,0,2019-02-14 18:16:40
1096110948035653632,404381330,Christian Yelich,"RT @proactivesp: .@ChristianYelich might be headed off to spring training, but distance is no match for Proactive’s strongest bromance 🤞😂 @…",131,0,2019-02-14 18:16:29
1095791444780933120,404381330,Christian Yelich,"RT @bruter24: We’re sending all our love and prayers to the family and friends of Matthew Rittner, a Milwaukee police officer recently kill…",290,0,2019-02-13 21:06:53
1095094043002863616,404381330,Christian Yelich,Consistent with your anti player rhetoric but adjusting to this “new reality” isn’t exactly the solution either https://t.co/OT8Z9HpGgH,697,5796,2019-02-11 22:55:40
1094307807946407936,404381330,Christian Yelich,"RT @Elex_Michaelson: Group hugs, grants, and relief for California shooting &amp; wildfire victims. 

After raising more than $1 million, this…",41,0,2019-02-09 18:51:27
1093706912405680128,404381330,Christian Yelich,Thank You to @UnderArmour and @Eastbay for hooking up the Westlake High School Baseball and Softball programs with… https://t.co/Ppeb57Lmal,45,1230,2019-02-08 03:03:42
1093348869377683456,404381330,Christian Yelich,.@Giannis_An34 and the @Bucks putting on a show tonight 😳,735,8446,2019-02-07 03:20:58
1092899600950677504,404381330,Christian Yelich,RT @GoldmanSachs: .@ChristianYelich describes what went into his 2018 MVP @MLB season with the @Brewers during a #TalksAtGS: https://t.co/F…,65,0,2019-02-05 21:35:44
1092578757452300288,404381330,Christian Yelich,🗣 Let’s Go!! https://t.co/PM2QDE5vxK,1348,10069,2019-02-05 00:20:49
1092555362291482624,404381330,Christian Yelich,Thank you to @SInow for helping spread the word about @CAstrongfund and catching up with me this off-season. https://t.co/qq1QECESBn,60,906,2019-02-04 22:47:51
1090098845462065153,404381330,Christian Yelich,"RT @TylerKepner: ""Oh man, this might be the year I go 0-for-500"". An Q&amp;A with Christian Yelich, who has mastered (for now) the insanely dif…",49,0,2019-01-29 04:06:32
1089770276747849728,404381330,Christian Yelich,Great to meet you guys today. Happy Birthday!!! https://t.co/KOTzdYoV36,52,1293,2019-01-28 06:20:55
1089676704954626048,404381330,Christian Yelich,RT @madzballz: . @ChristianYelich Update: Carters’ birthday wish came true! He finally got to meet his BFF and has now convinced himself yo…,84,0,2019-01-28 00:09:06
1089665059536756737,404381330,Christian Yelich,Thank You to all those that made this possible. It was an honor. https://t.co/0C2uYQLroi,298,5155,2019-01-27 23:22:49
1089384993472819200,404381330,Christian Yelich,What a night! See you tomorrow Milwaukee https://t.co/cIORh87eld,397,5896,2019-01-27 04:49:56
1088826875235971072,404381330,Christian Yelich,"RT @Brewers: One year ago today, we said, ""Let's Goooooooooo!"" and we went...all the way to Game 7 of the NLCS. 

#ThisIsMyCrew https://t.c…",1211,0,2019-01-25 15:52:11
1087890764753973248,404381330,Christian Yelich,RT @JasonDBrandt: #iWork4AmFam #DreamLead #Brewers @mpost3 @ChristianYelich what a great partnership. 2021! https://t.co/CpQId90106,15,0,2019-01-23 01:52:25
1087890698182053888,404381330,Christian Yelich,Great meeting @AmFamJack and everyone else today at the @amfam big announcement! Looking forward to a bright future… https://t.co/x7AxwG0gIP,104,1590,2019-01-23 01:52:09
1087196523148894208,404381330,Christian Yelich,You’ll never see anything like it in sports again. As an athlete you have to respect how hard it is to do what they… https://t.co/Y8tRgPLTbv,207,2862,2019-01-21 03:53:44
1087188168074383360,404381330,Christian Yelich,Behind the scenes in full gear today at the @pepsi photo shoot 🎬 https://t.co/wwguVjWH9u,161,2181,2019-01-21 03:20:32
1087186585089527808,404381330,Christian Yelich,The 🐐 strikes again!,480,4052,2019-01-21 03:14:15
1086142518180212736,404381330,Christian Yelich,@graciecrofts13 Hey Grace I would love to but unfortunately we have a game that day! I won’t be able to be there in… https://t.co/QI8VEefyLL,6,58,2019-01-18 06:05:30
1085299105847373824,404381330,Christian Yelich,"I wanted to give a special shoutout to all of our sponsors, without your support the @CAstrongfund event wouldn’t h… https://t.co/Lam8raEsM2",36,608,2019-01-15 22:14:05
