twitterID,userID,username,content,retweet,favorite,date
1102392489237987330,19607400,Oakland Athletics 🌳🐘⚾️,"We had a lot of fun distributing uniforms to the Oakland Girls Softball League this weekend!
#FutureA https://t.co/79HFlxcbdQ",19,207,2019-03-04 02:17:05
1102340853341741056,19607400,Oakland Athletics 🌳🐘⚾️,"FINAL: Angels 4, #Athletics 1 https://t.co/umQOtWYJSj",13,25,2019-03-03 22:51:54
1102332735522107392,19607400,Oakland Athletics 🌳🐘⚾️,"Luis gets us on the board! 
#HellaSpring https://t.co/G9jTCpc9vb",13,108,2019-03-03 22:19:39
1102312831293087745,19607400,Oakland Athletics 🌳🐘⚾️,@Angels 😒,2,11,2019-03-03 21:00:33
1102305126964879360,19607400,Oakland Athletics 🌳🐘⚾️,"Location, location, location... 
#HellaSpring https://t.co/5ro6zbYE2P",16,142,2019-03-03 20:29:56
1102298374382878722,19607400,Oakland Athletics 🌳🐘⚾️,"Ready to go! ⚾️
#PlayBall https://t.co/534vMFW3Ra",24,171,2019-03-03 20:03:06
1102243977485406210,19607400,Oakland Athletics 🌳🐘⚾️,"We're taking this show on the road.
⚾: 12:10pm PT, 1:10pm MT
📻: KTRB 860 AM
📲: https://t.co/OSNYqsTbgj
#HellaSpring https://t.co/50wuUWyqq0",15,51,2019-03-03 16:26:57
1101986895242772481,19607400,Oakland Athletics 🌳🐘⚾️,"Another day, another W with @townsendradio and @DonnyBaarns.
#RootedInOakland https://t.co/tTmVngWV6s",8,94,2019-03-02 23:25:24
1101974560977506304,19607400,Oakland Athletics 🌳🐘⚾️,"The classic Spring Training combo:

Pitching and defense 🐘
#HellaSpring https://t.co/1C6sm8e19w",15,100,2019-03-02 22:36:23
1101971047698448384,19607400,Oakland Athletics 🌳🐘⚾️,"ACHIEVEMENT UNLOCKED: Spring Training shutout!

FINAL: #Athletics 1, Indians 0
#HellaSpring https://t.co/mVMylQoLot",46,498,2019-03-02 22:22:26
1101967197398740993,19607400,Oakland Athletics 🌳🐘⚾️,"This will shock you, but Blake threw a scoreless inning and struck out two today ⚾️🔥 

(This will not shock you)… https://t.co/QDSqGgqR7A",34,240,2019-03-02 22:07:08
1101950467154694144,19607400,Oakland Athletics 🌳🐘⚾️,"Franklin just reminded us that it's time for a mid-day snack 🍎
#HellaSpring https://t.co/4d4QVmIiiv",17,121,2019-03-02 21:00:39
1101937648883523584,19607400,Oakland Athletics 🌳🐘⚾️,"The best way to spend a Saturday ⚾️
#PlayBall https://t.co/3snVvcVgkr",24,147,2019-03-02 20:09:43
1101922661846773760,19607400,Oakland Athletics 🌳🐘⚾️,"""Which one of you touched my bat?""
#HellaSpring https://t.co/S4dOnD2Uxt",12,87,2019-03-02 19:10:09
1101918408612835329,19607400,Oakland Athletics 🌳🐘⚾️,"RT @vincebaseball: A’s Total Access with @townsendradio starts at 11:15 with Billy Owens, Bob Melvin, Jerry Blevins and Mike Selleck prior…",10,0,2019-03-02 18:53:15
1101904267672076288,19607400,Oakland Athletics 🌳🐘⚾️,This kid can check “play catch with a Gold Glover” off his list. ✅ https://t.co/iqynmFRxaO,21,384,2019-03-02 17:57:04
1101887142647611392,19607400,Oakland Athletics 🌳🐘⚾️,"Happy birthday, @JamesKaprielian! https://t.co/6WnVPYZjiO",10,151,2019-03-02 16:49:01
1101879555248160768,19607400,Oakland Athletics 🌳🐘⚾️,"Ready for another beautiful day!
⚾: 12:05pm PT, 1:05pm MT
📻: KTRB 860 AM
📲: https://t.co/OSNYqsTbgj 
#HellaSpring https://t.co/Q21iTZJvVz",16,63,2019-03-02 16:18:52
1101665385697308673,19607400,Oakland Athletics 🌳🐘⚾️,"February’s Volunteer of the Month is Elvine Lucas! Elvine enjoys the A's Volunteer Team because ""It's a lot of fun… https://t.co/K0bqYv31JL",7,57,2019-03-02 02:07:50
1101660668963504128,19607400,Oakland Athletics 🌳🐘⚾️,"Jesse Arnstein, a current member of the Air Force, and his son Aaron visited us from the East Coast today. Aaron, a… https://t.co/Is46I6Cjw7",2,47,2019-03-02 01:49:06
1101642207256170496,19607400,Oakland Athletics 🌳🐘⚾️,"That's some serious pop, @JURICKSONPROFAR 💪🏿
#HellaSpring https://t.co/r2nQHtpxEk",28,235,2019-03-02 00:35:44
