twitterID,userID,username,content,retweet,favorite,date
1102569418104684544,40931019,Texas Rangers,"Happy birthday, TAG! 

Time to party. https://t.co/CyVS6ldsIW",13,154,2019-03-04 14:00:08
1102354933855252480,40931019,Texas Rangers,"Nice to meet you, sir. 🤝 https://t.co/hHGzBWVs50",12,132,2019-03-03 23:47:51
1102345131326406662,40931019,Texas Rangers,@MattASanders Spring Training probs... https://t.co/iFGaPWiGRY,1,13,2019-03-03 23:08:54
1102342317804060682,40931019,Texas Rangers,"Split decision this afternoon. 

FINAL: Rangers 11, Padres 3. 
FINAL: Dodgers 6, Rangers 3. https://t.co/X9K7wdAbIQ",56,456,2019-03-03 22:57:43
1102309089663741952,40931019,Texas Rangers,Davidson's drumming dingers. #RangersST https://t.co/oLTjsfRrqL,64,609,2019-03-03 20:45:41
1102300242119221248,40931019,Texas Rangers,Time for some afternoon baseball! #RangersST https://t.co/GMu5g8oF5Q,14,187,2019-03-03 20:10:32
1102268709781958657,40931019,Texas Rangers,RT @RangerBlake: The Rangers have acquired OF Zack Granite from Minnesota in exchange for RHP Xavier Moore and cash considerations. OF Scot…,23,0,2019-03-03 18:05:14
1102268224803086336,40931019,Texas Rangers,"@UnluckyDon No it’s a full infield, but no outfield",0,3,2019-03-03 18:03:18
1102237273448431616,40931019,Texas Rangers,"We're opening an updated academy in the Dominican Republic this summer! 

🔴 1,030,719 total property sq. ft
🔵 100 p… https://t.co/JEWMiw5IfJ",78,543,2019-03-03 16:00:19
1102191946213347329,40931019,Texas Rangers,This month. https://t.co/X4rnzQQ0LJ,343,1613,2019-03-03 13:00:12
1101988117333053441,40931019,Texas Rangers,"Join us as we invade enemy territory this July. 

https://t.co/PqYJcQknVJ https://t.co/uZ8KNi9M4y",16,212,2019-03-02 23:30:15
1101980040340885514,40931019,Texas Rangers,@Gustavo7400 Solid goaltending stole the show.,1,18,2019-03-02 22:58:10
1101976006401904640,40931019,Texas Rangers,"A wild one today! 

FINAL/9: Rangers 0, Giants 0. https://t.co/hS9Xvmx2P8",52,529,2019-03-02 22:42:08
1101965474261319680,40931019,Texas Rangers,RT @_ronaldguzman: Welp we Ready today🤣 @JoeyGallo24 https://t.co/buE6wIx4tO,141,0,2019-03-02 22:00:17
1101954428146540544,40931019,Texas Rangers,".@MikeMinor36 faced the minimum through 3.0 scoreless innings! 

#RangersST https://t.co/crFVgSZrlb",23,195,2019-03-02 21:16:23
1101942263121395713,40931019,Texas Rangers,"Thanks for the warm ovation, @SFGiants fans. https://t.co/Gb0BdtvylN",211,2796,2019-03-02 20:28:03
1101904477601161217,40931019,Texas Rangers,RT @chasedarnaud: ATTENTION //Journeyman Series Episode 2 : “Arizona Here We Come” available now —&gt; https://t.co/E4LWg8fkVE https://t.co/j6…,22,0,2019-03-02 17:57:54
1101890254808604677,40931019,Texas Rangers,Beltré’s in the building! 🐐 https://t.co/jsh7SGYERx,158,1624,2019-03-02 17:01:23
1101859759605600256,40931019,Texas Rangers,"Happy #TexasIndependenceDay, y'all! https://t.co/RSN1WZXAJO",603,1845,2019-03-02 15:00:12
1101622549270749190,40931019,Texas Rangers,"FINAL: White Sox 8, Rangers 5. 

#RangersST https://t.co/ug7XMUDvhf",16,126,2019-03-01 23:17:37
1101605575425589248,40931019,Texas Rangers,RT @JoeyGallo24: Welcome to the family baby “Joey” 🦘🙌🏼😊 https://t.co/nI2xJDKYjE,226,0,2019-03-01 22:10:10
1101583482428506113,40931019,Texas Rangers,@RedneckSavage38 Today's game will be broadcast on 105.3 FM on a delay. It will be carried in it's entirety at 8:30 p.m. tonight.,0,0,2019-03-01 20:42:23
1101577031811284997,40931019,Texas Rangers,"Anotha one. 

#RangersST https://t.co/CuGFYgxQs6",32,305,2019-03-01 20:16:45
1101556398809178112,40931019,Texas Rangers,It’s AMA time with @_ronaldguzman! Tune in now! 🔗 https://t.co/7LFwOEoyfK https://t.co/MjsyAIUacG,14,84,2019-03-01 18:54:46
1101517639875264512,40931019,Texas Rangers,@mjacobow All the feeeeeeeeeeeeels. https://t.co/txQAB9t2Hg,1,1,2019-03-01 16:20:45
1101513797976711170,40931019,Texas Rangers,"@mazzuca21 Sorry to hear this. We will release a limited number of reserved, obstructed view and standing room only… https://t.co/ynM6Nj577v",0,0,2019-03-01 16:05:29
1101512955844272129,40931019,Texas Rangers,"@thornton_ally We will release a limited number of reserved, obstructed view and standing room only tickets for the… https://t.co/l9UVr9ZR7Q",0,0,2019-03-01 16:02:08
1101501391305101314,40931019,Texas Rangers,"@iamricksage We will release a limited number of reserved, obstructed view and standing room only tickets for the H… https://t.co/myl8opRYXR",0,0,2019-03-01 15:16:11
1101501075385917442,40931019,Texas Rangers,"@tluczak1 We will release a limited number of reserved, obstructed view and standing room only tickets for the Home… https://t.co/mae1ChJCCV",0,0,2019-03-01 15:14:55
1101500210348470273,40931019,Texas Rangers,"@iamricksage Individual tickets are on sale now for every game, excluding opening day and the final series.",0,0,2019-03-01 15:11:29
1101497449221369856,40931019,Texas Rangers,#TogetherWe https://t.co/mkfDUUvkTR,181,818,2019-03-01 15:00:31
1101264627969781760,40931019,Texas Rangers,RT @GlobeLifeField: Check out the progress of Globe Life Field from above in the latest drone video #2020 https://t.co/lP58Gepa8l,122,0,2019-02-28 23:35:22
1101263815814062080,40931019,Texas Rangers,@shrimpywilliams 9 am!,0,1,2019-02-28 23:32:08
1101263748466118661,40931019,Texas Rangers,@MikeyY626 https://t.co/pDUpz77pE8,80,969,2019-02-28 23:31:52
1101262422873174022,40931019,Texas Rangers,"FINAL: Rangers 10, Angels 6. #RangersST https://t.co/C4QDXsgChO",98,807,2019-02-28 23:26:36
1101259232689700864,40931019,Texas Rangers,"RT @MikeyY626: Comebacks.....hmmmm.

If you need a guy to hit .157 with two wind aided homers, a non-existent launch angle, and a burning d…",928,0,2019-02-28 23:13:56
1101246233652461569,40931019,Texas Rangers,E... Z... W... maybe a T? https://t.co/7ha4fw99CU,15,242,2019-02-28 22:22:16
1101226183428132864,40931019,Texas Rangers,Spring swings. https://t.co/kAsPhcnwni,97,677,2019-02-28 21:02:36
1101222057604460547,40931019,Texas Rangers,"The streak soars on! 

CC: @_ronaldguzman https://t.co/8kBCQylXDu",13,174,2019-02-28 20:46:12
1101221400759668737,40931019,Texas Rangers,"Back-to-back jacks! 

#RangersST https://t.co/51c6v17os1",46,472,2019-02-28 20:43:36
1101213528571215873,40931019,Texas Rangers,@ElMexicanZombie 9 a.m. CST.,0,1,2019-02-28 20:12:19
1101213237436211200,40931019,Texas Rangers,RT @FOXSportsSW: We've got @Rangers Spring Training Baseball on FOX Sports Southwest right now courtesy of our friends at @FoxSportsWest!…,11,0,2019-02-28 20:11:10
1101187809845694464,40931019,Texas Rangers,"Got questions for @_ronaldguzman? Fire away! 

🔗: https://t.co/QL2R2eO1wj https://t.co/QHbCMTkWyQ",5,38,2019-02-28 18:30:07
1101187161238528000,40931019,Texas Rangers,"JK... welcome back, @JasonWitten! 👏🏽 https://t.co/9KeLnFVy04",649,3635,2019-02-28 18:27:32
1101165463227301889,40931019,Texas Rangers,RT @CoachEverson45: Well his actual due date was @Rangers #OpeningDay against the @Cubs but Graydon wanted to make sure he and dad could wa…,15,0,2019-02-28 17:01:19
1101155008899416065,40931019,Texas Rangers,@mcross627 Details on individual sales for the final regular season series will be announced at a later date. Fans… https://t.co/1TrKmaHRdH,0,0,2019-02-28 16:19:47
1101153009059401734,40931019,Texas Rangers,@C_Mueck13 You're not wrong. https://t.co/9jffcKbZ7d,1,7,2019-02-28 16:11:50
1101150147109638144,40931019,Texas Rangers,"2019 is going to be fun! 

🎟: https://t.co/4Wk4onBZIN https://t.co/2Q9eeWs2ae",79,381,2019-02-28 16:00:28
1101146922067415040,40931019,Texas Rangers,@mcross627 Details on individual sales for our final reg. season series vs. NYY will be announced @ a later date. F… https://t.co/UWtvAHKjjx,0,2,2019-02-28 15:47:39
1101136185123061762,40931019,Texas Rangers,Diggin' this #RangersST hoodie? They're on sale NOW at the Grand Slam Gift Shop! https://t.co/Ha7o8vwHxq,17,188,2019-02-28 15:04:59
1100938293385052160,40931019,Texas Rangers,"RT @_ronaldguzman: ITS OFFICIAL!!!! 🙌🏽🙌🏽 cant really name him, but in my mind his name is #Guzzy 🤣 Welcome to the family❤️🥰 https://t.co/ym…",128,0,2019-02-28 01:58:38
1100908485854855168,40931019,Texas Rangers,"Staring down Opening Day like...

#WallpaperWednesday https://t.co/C4LFDUISRV",55,460,2019-02-28 00:00:11
1100891199123214336,40931019,Texas Rangers,"How much you wanna bet I can hit a baseball over them mountains.

@matt_davidson24 | #RangersST https://t.co/Ybhd5n9bfN",16,132,2019-02-27 22:51:30
1100873493535690763,40931019,Texas Rangers,@bigsportsguy08 guzi got gameeeeeee 🔥,0,1,2019-02-27 21:41:08
1100868154123792384,40931019,Texas Rangers,"On this beautiful spring day, the Condor took flight. #RangersST https://t.co/6TpAXU9IpO",50,441,2019-02-27 21:19:55
