twitterID,userID,username,content,retweet,favorite,date
1102015367860441088,66209470,andrew mccutchen,He wanted those mics to go away so I could get back to playtime with him🤣. https://t.co/ZgAs6oYj9F,238,5517,2019-03-03 01:18:32
1101630279838507014,66209470,andrew mccutchen,😂 it’s Philadelphia 🤝 https://t.co/LkuOcDPmp2,49,1151,2019-03-01 23:48:20
1101614779423252482,66209470,andrew mccutchen,RT @TrueKofi: @TheCUTCH22 @WWEGraves Respect! 🙌🏾,23,0,2019-03-01 22:46:45
1101534637703213058,66209470,andrew mccutchen,"Uhh @wwegraves I def didn’t ask 4 more money before I got traded, but I do know that @TrueKofi is the real deal and… https://t.co/dtg2G1cs0t",442,2442,2019-03-01 17:28:17
1101280957531897856,66209470,andrew mccutchen,💯 +💯+💯+3️⃣0️⃣= ⬇️⬇️⬇️⬇️🔥 https://t.co/NozOeoJDo2,941,9684,2019-03-01 00:40:15
1098298409650409473,66209470,andrew mccutchen,@theFortMcKenry My return https://t.co/dHrO0WktTK,1,43,2019-02-20 19:08:40
1097977095161032709,66209470,andrew mccutchen,🔥 https://t.co/XJLbZqcDwg,1694,24387,2019-02-19 21:51:53
1096812342787096577,66209470,andrew mccutchen,This is a great debate! Im def sweet corn chowder. My wife @MariaHanslovan is butternut squash. Why do we know this… https://t.co/Q3OCDtuIiN,8,342,2019-02-16 16:43:34
1094213494608670720,66209470,andrew mccutchen,@SocialClubMSFTS @Deathbymartymar Start the morning off right! #Misfit https://t.co/PVr3IQyeco,4,107,2019-02-09 12:36:41
1094042165335023617,66209470,andrew mccutchen,@theFortMcKenry Hands getting soft bro???,1,383,2019-02-09 01:15:53
1093954697290006534,66209470,andrew mccutchen,"Me- “Imma act like this aint cold by givn him the str8 🤨.”
Jhay-“ eyy,eyy,eyy,ahh,ahh.” 😭😭😭😤 https://t.co/OWrcr4fXZw",90,1714,2019-02-08 19:28:19
1093671322176180224,66209470,andrew mccutchen,He was more than baseball. May your legacy live on. RIP Robby https://t.co/URS4KTr207,500,6271,2019-02-08 00:42:17
