twitterID,userID,username,content,retweet,favorite,date
1092259261005135872,1668769974,Andrew Benintendi,🏆,1289,14174,2019-02-04 03:11:15
1089377984446976000,1668769974,Andrew Benintendi,@Ericchurch rocking the stars and bars while playin’ in St. Louis... Love it!,6,109,2019-01-27 04:22:05
1087190515911667714,1668769974,Andrew Benintendi,Tom breezy 🙌🏻,1937,14287,2019-01-21 03:29:52
1086008331351797763,1668769974,Andrew Benintendi,@eduardorod5 @RedSox Should have thrown @CY24_7 the slider 🤣,13,585,2019-01-17 21:12:17
1058778897423196160,1668769974,Andrew Benintendi,"@JoeSerrano10 Hey Joe, we were teammates in college, why don’t you @ me next time 🏆",19,140,2018-11-03 17:52:14
1056966299388002304,1668769974,Andrew Benintendi,RT @MLB: Banner ‘18. https://t.co/Pt5SnIPuqW,3696,0,2018-10-29 17:49:37
1049037523077533697,1668769974,Andrew Benintendi,Who Dey #bengals,121,1460,2018-10-07 20:43:30
1045398787538194432,1668769974,Andrew Benintendi,Who inspires your WILL?  #WillMakesUsFamily #WEWILL @UnderArmour https://t.co/KBfxslMiER,47,488,2018-09-27 19:44:28
1040065089288765441,1668769974,Andrew Benintendi,That is awesome! Love it 🤙🏻 https://t.co/cKK0cRG36w,788,11502,2018-09-13 02:30:15
1039519000387112961,1668769974,Andrew Benintendi,"RT @RedSox: Today and every day we remember. 

9.11.01 #NeverForget https://t.co/ueA8p21vkX",1137,0,2018-09-11 14:20:17
1037877259691012096,1668769974,Andrew Benintendi,"RT @RedSox: Brock has been named the #RedSox 2018 Roberto Clemente nominee, but now it’s time to vote and recognize his work in the Boston…",235,0,2018-09-07 01:36:36
1017520889620033538,1668769974,Andrew Benintendi,RT @lakeyd3: The @RedSox wives will be out in full force tonight at Gates A &amp; D. Come say Hi and check out your favorite player's basket or…,18,0,2018-07-12 21:27:39
1017467938595573760,1668769974,Andrew Benintendi,"Big thanks to everyone who voted for me for the ASG! I want to thank my teammates, the fans and @RedSox for giving me a shot! Go Sox!",955,14404,2018-07-12 17:57:14
1006379024082497536,1668769974,Andrew Benintendi,Woo Pig 💪🏻,605,5169,2018-06-12 03:33:51
947205049956098048,1668769974,Andrew Benintendi,Thatta way @RazorbackMBB #WPS 💪🏻,145,1737,2017-12-30 20:37:36
946850058489810944,1668769974,Andrew Benintendi,Woah...I just got back from the @WOWaquarium and you better believe I'm voting for it as the @USATODAY Best Attract… https://t.co/WEZPZD0r4W,34,379,2017-12-29 21:07:00
933123392642920449,1668769974,Andrew Benintendi,@MLBNetworkRadio @JosephKellyJr @rajai11davis This is GOLD 😂,28,494,2017-11-22 00:02:08
931160867470589952,1668769974,Andrew Benintendi,Had an amazing weekend at the @Britt_Ross108 golf scramble. Thank you to @britt_ross108 and… https://t.co/tfxBtPyCv8,26,535,2017-11-16 14:03:45
925519828202524672,1668769974,Andrew Benintendi,RT @MrsHollensworth: Hudson wanted to be @asben16 for 🎃! True @RedSox fan and @RazorbackBSB fan! #HappyHalloween2017 https://t.co/ERcatz72YR,28,0,2017-11-01 00:28:17
925519699861000192,1668769974,Andrew Benintendi,"RT @AngHog79: Happy Haloween from Fayetteville, AR @asben16 https://t.co/P0ALFqi6b9",55,0,2017-11-01 00:27:46
914870909240045569,1668769974,Andrew Benintendi,RT @RedSox: We are deeply saddened by today's tragic news. Las Vegas and the families affected by this tragedy are in our thoughts and pray…,1143,0,2017-10-02 15:13:16
911641055010918401,1668769974,Andrew Benintendi,"RT @btboyer81: My friends at https://t.co/nIzdoQZHE6 need your help. Clean water is paramount in this relief effort. @RedSox 
 https://t.co…",76,0,2017-09-23 17:18:59
905830604234731520,1668769974,Andrew Benintendi,RT @CY24_7: Please join my amazing @RedSox teammates and I in helping Houston recover!!  Please donate and help spread the word! https://t.…,453,0,2017-09-07 16:30:20
904405755809419265,1668769974,Andrew Benintendi,"RT @E60: The moment Ari Schultz got to meet players from his favorite team - the @redsox 'Lionheart' premieres Sunday, 9a ET ESPN https://t…",538,0,2017-09-03 18:08:29
904388916324786176,1668769974,Andrew Benintendi,"RT @E60: Ari Schultz lived just five short years, but the impression he made on the world will endure much longer https://t.co/D5A8hgz9rA",946,0,2017-09-03 17:01:35
903307257739444226,1668769974,Andrew Benintendi,Good luck to @RazorbackFB in their opener tonight! #WPS 💪🏻,203,1639,2017-08-31 17:23:27
901180345881702401,1668769974,Andrew Benintendi,"Been getting a lot of requests to tweet this out, so here y'all go. #playersweekend https://t.co/H9GpwAweyo",1105,7096,2017-08-25 20:31:52
898363459523551232,1668769974,Andrew Benintendi,#FB4L 🙌🏻 https://t.co/4Jyeg8YTG3,269,3263,2017-08-18 01:58:34
890608052021321728,1668769974,Andrew Benintendi,Finally home..gotta start the off day with some @cfaframingham #EatMorChikin,86,1642,2017-07-27 16:21:20
883045371949326341,1668769974,Andrew Benintendi,"RT @RedSox: Every RT is a vote for Xander! 
#VoteX #VoteX #VoteX
#VoteX #VoteX #VoteX
#VoteX #VoteX #VoteX
#VoteX #VoteX #VoteX",6901,0,2017-07-06 19:29:57
882688567675412484,1668769974,Andrew Benintendi,Let's get Bogey to the #ASG everyone! Please go vote or @BrockStar4Lyf will cut his hair! Just kidding......but ple… https://t.co/ooa2DTAkxI,589,2526,2017-07-05 19:52:08
881671275961344000,1668769974,Andrew Benintendi,"RT @RedSox: Let's goooo! ❌

#VoteX
A2 📲 89269 https://t.co/5jhsW9QV9X",371,0,2017-07-03 00:29:47
877376425178918912,1668769974,Andrew Benintendi,"RT @MLB: Ready to smile?

After a heart transplant, young @RedSox fan Ari Schultz is getting his wish – going to a game at Fenway. https://…",1026,0,2017-06-21 04:03:35
876127016550096897,1668769974,Andrew Benintendi,Can't wait to see you at Fenway Ari! You are the man! 💪🏻 https://t.co/wVgfpRG94L,3979,16944,2017-06-17 17:18:53
871022156867653632,1668769974,Andrew Benintendi,@BradZiegler I'm more of an Omaha steak guy #WPS,73,601,2017-06-03 15:13:59
869371233909055488,1668769974,Andrew Benintendi,@Tmatheny22 @MSUBearBaseball Lol,57,400,2017-05-30 01:53:48
868209459142832129,1668769974,Andrew Benintendi,Huge thanks to @RazorbackEquip for hooking us up with these sick helmets! #WPS @RazorbackFB https://t.co/qxC6VqPzYS,133,1207,2017-05-26 20:57:20
866715717105852417,1668769974,Andrew Benintendi,"This was a tough choice, but had to go with Bog! #CallOfDuty https://t.co/Uh2rvBGbBe",132,1239,2017-05-22 18:01:44
863753293826314241,1668769974,Andrew Benintendi,Happy Mother's Day to all the mothers out there! S/O to @UABaseball for these #MothersDay cleats. #IWILL https://t.co/juoRumkGeM,202,1812,2017-05-14 13:50:07
863400270654472193,1668769974,Andrew Benintendi,@RazorbackEquip @RazorbackFB https://t.co/FPc0yREHZg,10,60,2017-05-13 14:27:20
861348353132699653,1668769974,Andrew Benintendi,Congrats @anthonyfjoshua - what a fight! #Champion #IWILL https://t.co/s5xZrqOTax,20,291,2017-05-07 22:33:45
860904730805055488,1668769974,Andrew Benintendi,"RT @DAVIDprice24: Grand opening of our ""miracle field"" this morning! Not a better feeling than helping others... https://t.co/oGANfFbc5x",375,0,2017-05-06 17:10:57
859591323875201024,1668769974,Andrew Benintendi,@PeteFrates3 Don't worry! The hair is safe and sound!,146,1138,2017-05-03 02:11:56
859466451228524544,1668769974,Andrew Benintendi,Huge shoutout to @chickfila and @cfaframingham for setting up lunch for the team! #eatmorchikin https://t.co/mFNBPOHy9X,66,832,2017-05-02 17:55:44
849983371514085376,1668769974,Andrew Benintendi,@lakeyd3 @BrockStar4Lyf #FB4L 🤘🏻,7,49,2017-04-06 13:53:22
846442356161306625,1668769974,Andrew Benintendi,"Breakfast, lunch, or dinner. I could #EatMorChikin all day. @cfarazorbackrd",56,624,2017-03-27 19:22:38
845058613039304704,1668769974,Andrew Benintendi,Thanks for the support! 💪🏻 https://t.co/vmSrE4JaeQ,27,575,2017-03-23 23:44:08
844238491223560195,1668769974,Andrew Benintendi,"RT @JackieBradleyJr: Honored,blessed,&amp; thankful to be on the cover of @SInow with great teammates (@mookiebetts &amp; @asben16). Faith,attitude…",693,0,2017-03-21 17:25:16
842825133882560513,1668769974,Andrew Benintendi,WPS! #MarchMadness 🐗,80,569,2017-03-17 19:49:05
840696826684686340,1668769974,Andrew Benintendi,Sorry bout it! @DAVIDprice24 #WPS 🐗 @RazorbackMBB,91,577,2017-03-11 22:51:57
838490984585564164,1668769974,Andrew Benintendi,Work in progress #flowbros https://t.co/tzUcEntpnY,46,419,2017-03-05 20:46:43
837679350623399936,1668769974,Andrew Benintendi,#breakfastofchampions https://t.co/oO2OSOCbhW,72,731,2017-03-03 15:01:35
