twitterID,userID,username,content,retweet,favorite,date
1099076751152504837,145107843,Mike Trout,"RT @PGATOUR: Unbelievable.

What a swing.
What a shot.

Wow, @TigerWoods. 👏 

#LiveUnderPar https://t.co/cO134n7oEm",5806,0,2019-02-22 22:41:31
1098752213231357954,145107843,Mike Trout,"RT @JimCantore: Rough driving up in Payson, AZ area.  Since the east coast has not “delivered” this winter @MikeTrout did a little storm tr…",72,0,2019-02-22 01:11:56
1098737418864230401,145107843,Mike Trout,Nothing like an Arizona snowstorm! @JessTara https://t.co/sfZf8b1pGm,888,9672,2019-02-22 00:13:08
1098394174905212929,145107843,Mike Trout,Let’s gooooo Duke !!!!!,532,3901,2019-02-21 01:29:13
1095751453669511168,145107843,Mike Trout,RT @royhallenbeck: Big thanks to @MikeTrout for stopping in to present his old number 1 to this years captains @museygarrett1 and @Dom_Buon…,74,0,2019-02-13 18:27:59
1093712497364762625,145107843,Mike Trout,RT @Weave1036: So awesome.. his reaction after is priceless https://t.co/AXsTCJ9XvL,1893,0,2019-02-08 03:25:54
1092813077152714752,145107843,Mike Trout,"RT @ALaForce: Our journey❤️My husband Joe’s mom has HD. He could too. BUT, w/ IVF, we can guarantee our children won’t!! Upwards of $30k. W…",54,0,2019-02-05 15:51:55
1090367237150523392,145107843,Mike Trout,"RT @superpretzel: We make the pretzel. You make the super. And, super fans share super snacks for the Big Game. 🥨 #SnacktivateKindness http…",25,0,2019-01-29 21:53:02
1089300468025700353,145107843,Mike Trout,RT @JessTara: H A P P I E S T of birthdays to this hot Mama! 🔥 I wouldn’t wanna have hair dates or fend off rattle snakes with anyone but y…,8,0,2019-01-26 23:14:04
1084534765728993286,145107843,Mike Trout,RT @donovanjmcnabb: Almost time. Let’s Go Birds https://t.co/KDMHYW4wPX,1763,0,2019-01-13 19:36:52
1084424863576674304,145107843,Mike Trout,#FlyEaglesFly,4077,17851,2019-01-13 12:20:09
1083795527886462976,145107843,Mike Trout,#FlyEaglesFly https://t.co/S48Nj8feyz,1593,7871,2019-01-11 18:39:24
1082079578007453702,145107843,Mike Trout,#FLyEaglesFly  #LetsGo,1481,10354,2019-01-07 01:00:50
1081892981618208768,145107843,Mike Trout,#FlyEaglesFly,3511,15643,2019-01-06 12:39:22
1081295531048001536,145107843,Mike Trout,#FlyEaglesFly https://t.co/EguwC5Wcr0,2663,10157,2019-01-04 21:05:18
