twitterID,userID,username,content,retweet,favorite,date
1102388552036503552,41144996,Chicago Cubs,Yesterday’s #RespectBald event raised over $44K! Thanks to everyone who participated. https://t.co/yxjz98JiGO,94,1064,2019-03-04 02:01:26
1102359690040758272,41144996,Chicago Cubs,RT @ihapp_1: Would you hang up on me? Buy a print before March 31st and you could be getting this phone call. I’ll be hand delivering 5 aut…,115,0,2019-03-04 00:06:45
1102349851466051584,41144996,Chicago Cubs,"Cubs win!

Final: #Cubs 13, White Sox 4. https://t.co/TsPYhS1e7u",985,7312,2019-03-03 23:27:39
1102346438951006209,41144996,Chicago Cubs,@MBDChicago Not doing what?,2,25,2019-03-03 23:14:06
1102344674981933056,41144996,Chicago Cubs,@aliciaknight8 @SloanParkMesa Thank you! Looks like you're having fun! #EverybodyIn,1,6,2019-03-03 23:07:05
1102339365164990464,41144996,Chicago Cubs,@Dan_Welter @SloanParkMesa It is nice. Thanks.,1,42,2019-03-03 22:45:59
1102338448617177088,41144996,Chicago Cubs,"Thank you, #Cubs fans!

We’ve set another Cactus League single-game attendance record with today’s crowd of 16,069! https://t.co/mp2bhXaccv",258,2975,2019-03-03 22:42:21
1102331024732758018,41144996,Chicago Cubs,"RT @MLBastian: New Cactus League attendance record set here today for Cubs-White Sox at Sloan Park: 16,069",73,0,2019-03-03 22:12:51
1102325441027891201,41144996,Chicago Cubs,Sunshine and smiles at @SloanParkMesa. 🌵🐻😎 https://t.co/G0xATuMkuM,121,1270,2019-03-03 21:50:40
1102320400766324738,41144996,Chicago Cubs,@felicity_clawso Yeah but we're a little mad at them for not bringing you.,1,4,2019-03-03 21:30:38
1102312457387888642,41144996,Chicago Cubs,#KBoom! https://t.co/ZaLiz2s2XU,473,5155,2019-03-03 20:59:04
1102299540672135168,41144996,Chicago Cubs,"Play ball!
 
🔊 https://t.co/nQiwGqL1Dp https://t.co/nCkhOeOvdY",96,880,2019-03-03 20:07:44
1102269058668482561,41144996,Chicago Cubs,Here is today's #Cubs lineup at @SloanParkMesa. https://t.co/muVlwBQsQw https://t.co/FljvAzJv24,98,826,2019-03-03 18:06:37
1102257230857027584,41144996,Chicago Cubs,"Opening Day is next. Don't miss your stop.

#EverybodyIn 🎟 https://t.co/3vIMAaTkFe https://t.co/oj04iYXcmO",414,2535,2019-03-03 17:19:37
1102057440659603456,41144996,Chicago Cubs,@BrianWright05 Happy birthday! https://t.co/HyBhoDxfsm,2,2,2019-03-03 04:05:43
1101983458216296449,41144996,Chicago Cubs,"Final: Brewers 7, Cubs 4. #SpringTraining https://t.co/17DFL15DcN",47,440,2019-03-02 23:11:44
