twitterID,userID,username,content,retweet,favorite,date
1102338473284067328,40927173,New York Yankees,"1 ... 2 ... 3 ... 4 ... 5 ... 6 ... 7 ...
It's only Spring, but we're feelin' all kinds of Summer. https://t.co/XqkYrw9oYc",1279,5815,2019-03-03 22:42:27
1102314794995146758,40927173,New York Yankees,"#StartSpreadingTheNews, one win, lots of homers. https://t.co/kwZZR1Petx",421,3015,2019-03-03 21:08:21
1102289478234898432,40927173,New York Yankees,We're dropping homers all over Florida today. https://t.co/Ss9u2uYhrB,917,6136,2019-03-03 19:27:45
1102273171636580352,40927173,New York Yankees,"Step 1: Gardy Party
Step 2: #AllRise 
Back-to-back in Tampa. https://t.co/breutx8oUd",873,5685,2019-03-03 18:22:58
1102261500868202497,40927173,New York Yankees,Catch this immediately after today’s game coverage on @YESNetwork. https://t.co/ySvriVGQ5f,61,564,2019-03-03 17:36:35
1102208812830941184,40927173,New York Yankees,Split squad action in Florida today. You can catch our home game at @GMSField on @YESNetwork. https://t.co/qbfsxtCWSq,225,1552,2019-03-03 14:07:13
1101929997118386178,40927173,New York Yankees,"Welcome back, Danny! Your strength and dedication are an example to us all. https://t.co/0uLE9DJHfe",655,5707,2019-03-02 19:39:18
1101855339849412608,40927173,New York Yankees,"Go Papá, it’s your birthday, we gonna party like it’s your birthday. 

Happy Birthday, Miggy! 🎂🎉😁 https://t.co/vbULVzGqqN",862,7579,2019-03-02 14:42:39
1101841647011278848,40927173,New York Yankees,We're down in Bradenton today to take on the Pirates. You can follow the action on @WFAN660. https://t.co/2TJKKKazWZ,167,1213,2019-03-02 13:48:14
1101646444019236865,40927173,New York Yankees,"1.1 IP / 0 H / 0 BB / 3 Ks for @chadgreen24 🔥

He picked up his three strikeouts in the 3rd on only 9 pitches. https://t.co/OBwYBqEc0q",218,2147,2019-03-02 00:52:34
1101629674948517888,40927173,New York Yankees,Friday night &amp; Tampa lights. https://t.co/gMrpV5mtY5,718,6219,2019-03-01 23:45:56
1101580116872908800,40927173,New York Yankees,"RT @FollowHSRacing: Yesterday @GSteinbrennerIV shared his experience with @usairforce top commanders @SecAFOfficial, @GoldfeinGen and #CMSA…",13,0,2019-03-01 20:29:00
1101558536868425728,40927173,New York Yankees,Gary makes his spring debut in our 1st night game of Grapefruit League. https://t.co/DO6TSxhp8w,303,2820,2019-03-01 19:03:15
1101518489196683264,40927173,New York Yankees,"2019 Individual game tickets are on sale NOW

We'll see you in the Bronx: https://t.co/xQ7UlHU6VX https://t.co/05f6hwnml3",130,1068,2019-03-01 16:24:07
1101244553003237376,40927173,New York Yankees,"For those of you not counting down with the rest of us ...

28 days. https://t.co/VfjQ9tsWrH",943,3818,2019-02-28 22:15:36
1101233874741403650,40927173,New York Yankees,That's two for Tulo this Spring ✌️ https://t.co/GAsf1E3RPE,1109,8020,2019-02-28 21:33:10
